# Serie  defalt b1 b2 b3 
128 0 0 0 14.51
256	0  0 0  33.92
512	0  0 0  49.78
1k	0  0 0  110.65
2k  0  0 0  150
4k	0  0 0  150
8k  0  0 0  150

