# Serie  defalt b1 b2 b3 
128 200  200 200 200 
256	200  200 200 200 
512	200  200 200 200 
1k	200  200 200 200 
2k  200  200 200    292.16
4k 200  200 200   559.97
8k  200  200 200  1118.97

