# Serie  defalt b1 b2 b3 
128 200  200 200 200 
256	200  200 200 200 
512	200  200 200 200 
1k	200  200 200 200 
2k  200  200 200  311.78
4k	200  200 200  582.17
8k  200  200 253.03 1146.22
