# Serie  defalt b1 b2 b3 
128 0 0 0 0 
256	0 0 0 0 
512	0  0 8.24 0 
1k	0 0  10.41 0 
2k  0  0 40.48 0 
4k	0  0 99.26 0 
8k  0  0 150 0 
