# Series    AHL       ours
llama7piqa    2.13646499094716   0.802475950081838
llama13piqa	   3.67530926335567  1.37787280522015
llama7copa    3.5034764045477   2.08298535943031
llama13copa   6.3636747944355   3.23632140994072

