# Series rc as_ ash2o ash2olfu ours hyperinfer oracle
OPT-6.7B 1.082471153 1.393732035 2.083242666 1.589460091 0.717133629 0.548512718 0.47516167 
OPT-13B  1.810574175 4.030951487 4.370303428 3.001521918 1.289811833 0.999751437 0.794699353 
OPT-30B	 1.183475501 2.602367625 2.553660621 1.635295001 0.902162923 0.751598035 0.627150175 



