# Series    AHL       ours
16    2.57310469314079   1.18231046931408
32	   1.81046931407942  0.851083032490975
64    1.65613718411552   0.685018050541516
128   1.20848375451264   0.59927797833935
256   1.02075812274368   0.524368231046931

