# Series rc as_ ash2o ash2olfu ours
OPT-6.7B 1.58 1.4 1.55 1.29 0.57
OPT-13B  2.40 3.49 2.7 2.19 0.99
OPT-30B	 1.75 2.37 2.00 1.60 0.82



